Fecha:  19/06/2016
            Listado de Estadístico de Horas plicadas por año y mes

Empresa             Ano    Ene Feb Mar Abr May Jun Jul Ago Sep Oct Nov Dic Total
--------------------------------------------------------------------------------
ARCOR S.A.          2012   000 000 021 019 000 000 000 000 000 000 000 000 0041
                    2013   000 000 000 000 000 000 000 000 010 000 000 000 0010
                    2014   000 000 000 000 000 000 000 000 000 000 000 000 0000
                    2015   000 000 000 000 000 000 000 000 000 000 000 000 0000
                    2016   000 000 000 000 000 000 000 000 010 000 000 000 0010
--------------------------------------------------------------------------------
LA SERENISIMA S.A.  2012   000 000 021 019 000 000 000 000 000 000 000 000 0041
                    2013   000 000 000 000 000 000 000 000 010 000 000 000 0010
                    2014   000 000 000 000 000 000 000 000 000 000 000 000 0000
                    2015   000 000 000 000 000 000 000 000 000 000 000 000 0000
                    2016   000 000 000 000 000 000 000 000 010 000 000 000 0010
--------------------------------------------------------------------------------
ILOLAY S.A.         2012   000 000 021 019 000 000 000 000 000 000 000 000 0041
                    2013   000 000 000 000 000 000 000 000 010 000 000 000 0010
                    2014   000 000 000 000 000 000 000 000 000 000 000 000 0000
                    2015   000 000 000 000 000 000 000 000 000 000 000 000 0000
                    2016   000 000 000 000 000 000 000 000 010 000 000 000 0010

Totales                    000 000 021 019 010 000 000 021 020 000 000 000 0092
